CD_SETOR,V06001,V06002,V06003,V06004,V06005
314330205000001,"38,00","76,00","1,14","2.537,15","6.247.140,76"
314330205000002,"131,00","273,00","1,26","2.348,91","5.227.401,81"
314330205000003,"191,00","438,00","1,47","3.381,57","9.113.788,63"
314330205000004,"152,00","340,00","1,22","4.499,34","17.481.556,09"
314330205000005,"113,00","232,00","1,30","3.170,11","17.823.966,92"
314330205000006,"178,00","317,00","1,04","3.518,39","13.707.628,23"
314330205000008,"87,00","185,00","1,13","6.661,17","61.862.358,47"
314330205000009,"146,00","354,00","1,54","6.257,59","98.787.958,14"
314330205000013,"205,00","555,00","1,65","3.264,84","11.458.415,18"
314330205000014,"33,00","93,00","1,40","2.349,34","3.881.429,01"
314330205000015,"244,00","595,00","1,94","3.082,26","6.320.827,89"
314330205000016,"338,00","877,00","1,70","3.210,80","155.295.724,78"
314330205000017,"297,00","735,00","1,80","2.093,19","4.796.707,42"
314330205000019,"142,00","344,00","1,41","2.278,98","4.568.757,45"
314330205000020,"238,00","576,00","1,31","5.281,79","20.750.620,38"
314330205000021,"216,00","528,00","1,77","3.692,82","13.377.959,67"
314330205000022,"284,00","722,00","1,49","5.013,68","32.936.230,90"
314330205000023,"209,00","509,00","1,57","4.028,26","18.213.152,09"
314330205000025,"258,00","566,00","1,41","2.213,98","4.612.852,85"
314330205000026,"227,00","595,00","3,32","3.073,99","11.034.528,58"
314330205000028,"278,00","759,00","2,35","2.114,55","3.099.721,31"
314330205000029,"151,00","350,00","2,02","2.471,56","7.640.596,61"
314330205000030,"164,00","419,00","2,38","1.695,01","1.432.077,92"
314330205000032,"190,00","399,00","1,02","3.513,34","13.306.612,80"
314330205000033,"180,00","382,00","1,30","3.253,12","15.813.996,59"
314330205000034,"163,00","402,00","1,41","4.281,48","21.929.684,30"
314330205000036,"150,00","379,00","1,50","5.757,21","45.489.687,15"
314330205000042,"242,00","717,00","1,75","1.253,34","196.962,65"
314330205000043,"171,00","587,00","4,12","1.200,82","296.061,95"
314330205000044,"248,00","677,00","1,49","6.409,44","35.618.483,47"
314330205000045,"177,00","496,00","2,09","2.030,18","3.529.737,11"
314330205000046,"307,00","822,00","1,59","2.876,81","6.313.460,67"
314330205000047,"282,00","812,00","1,64","2.450,40","3.764.708,53"
314330205000049,"236,00","703,00","2,14","1.728,27","1.642.836,13"
314330205000051,"180,00","511,00","1,88","2.190,58","3.123.553,26"
